budget,genres,id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genre_names
80000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",50546,37.02665,2011-02-10,214918407,117.0,Just Go with It,6.3,1543,"['Romance', 'Comedy']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1701,45.154631,1997-06-01,224012234,115.0,Con Air,6.5,1270,"['Action', 'Thriller', 'Crime']"
80000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",13027,46.887983,2008-09-25,178066569,118.0,Eagle Eye,6.3,1018,"['Mystery', 'Thriller', 'Action']"
79000000,"[{'id': 18, 'name': 'Drama'}]",2289,24.598479,2003-12-24,173013509,154.0,Cold Mountain,6.7,533,['Drama']
80000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",20504,32.363538,2010-01-14,157107755,118.0,The Book of Eli,6.6,2164,"['Action', 'Thriller', 'Science Fiction']"
80000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",11618,19.375768,1999-07-23,91188905,113.0,The Haunting,5.2,369,"['Horror', 'Thriller', 'Fantasy', 'Mystery']"
80000000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",10200,41.890722,2008-12-10,233093859,104.0,The Day the Earth Stood Still,5.2,1043,"['Drama', 'Science Fiction', 'Thriller']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8834,22.179658,1997-08-07,136982834,135.0,Conspiracy Theory,6.5,431,"['Action', 'Drama', 'Mystery', 'Thriller']"
68000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",228150,139.575085,2014-10-15,211817906,135.0,Fury,7.4,3946,"['War', 'Drama', 'Action']"
80000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",38317,27.46264,2011-07-06,169852759,102.0,Zookeeper,5.3,498,"['Comedy', 'Romance', 'Family']"
80000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",2157,17.455024,1998-04-03,136159423,130.0,Lost in Space,5.0,388,"['Adventure', 'Family', 'Science Fiction']"
80000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",14462,21.394281,2004-07-30,96105964,129.0,The Manchurian Candidate,6.2,393,"['Drama', 'Thriller', 'Mystery']"
0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",161795,0.605645,1998-04-22,0,117.0,Déjà Vu,8.0,1,"['Romance', 'Drama']"
90000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",9822,6.643778,1998-12-25,0,114.0,Mighty Joe Young,5.9,208,"['Action', 'Adventure', 'Family', 'Fantasy']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1656,31.054334,2005-10-24,142400065,129.0,The Legend of Zorro,5.9,893,"['Action', 'Adventure']"
85000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",12159,21.891078,1998-10-02,71485043,113.0,What Dreams May Come,6.8,577,"['Drama', 'Fantasy', 'Romance']"
88000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",4442,40.138009,2005-08-26,105316267,118.0,The Brothers Grimm,5.6,818,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Thriller']"
70000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",75,44.090535,1996-12-12,101371017,106.0,Mars Attacks!,6.1,1509,"['Comedy', 'Fantasy', 'Science Fiction']"
0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",9433,20.632673,1997-09-06,43312294,117.0,The Edge,6.7,349,"['Action', 'Adventure', 'Drama']"
80000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11973,18.26121,2000-12-24,34566746,145.0,Thirteen Days,6.9,189,"['Drama', 'Thriller']"
80000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",11228,16.681269,1996-12-06,159212469,115.0,Daylight,5.8,378,"['Action', 'Adventure', 'Thriller']"
44000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]",5491,7.89147,2000-05-10,21400000,118.0,Battlefield Earth,3.0,255,"['Action', 'Science Fiction', 'War']"
80000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",10197,9.357734,2009-12-03,53825515,112.0,Nine,5.1,165,"['Drama', 'Music', 'Romance']"
80000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",9562,11.22268,2003-11-26,19480739,116.0,Timeline,5.4,318,"['Action', 'Adventure', 'Science Fiction']"
80000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",9922,14.564667,1997-12-25,17626234,177.0,The Postman,6.1,299,"['Drama', 'Adventure']"
90000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",274854,52.612025,2015-10-21,146936910,106.0,The Last Witch Hunter,5.7,1316,"['Fantasy', 'Action', 'Adventure']"
80000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",8870,13.800656,2000-11-10,33463969,106.0,Red Planet,5.4,267,"['Thriller', 'Action', 'Science Fiction']"
80000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",10077,7.342892,2005-05-15,5989640,110.0,A Sound of Thunder,4.8,111,"['Thriller', 'Science Fiction', 'Adventure', 'Action']"
130000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",76649,50.561849,2014-02-18,117831631,105.0,Pompeii,5.2,1267,"['Action', 'Adventure', 'History', 'Romance', 'Drama']"
60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",453,59.248437,2001-12-11,313542341,135.0,A Beautiful Mind,7.7,3009,"['Drama', 'Romance']"
78000000,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",9533,10.083905,2002-09-29,209196298,124.0,Red Dragon,6.7,1115,"['Crime', 'Thriller', 'Horror']"
100000000,"[{'id': 37, 'name': 'Western'}, {'id': 12, 'name': 'Adventure'}]",2023,16.759252,2004-03-05,108103450,136.0,Hidalgo,6.5,318,"['Western', 'Adventure']"
76000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",584,10.520961,2003-06-05,236350661,107.0,2 Fast 2 Furious,6.2,2028,"['Action', 'Crime', 'Thriller']"
78000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",8698,47.436675,2003-07-11,179265204,110.0,The League of Extraordinary Gentlemen,5.7,1155,"['Fantasy', 'Action', 'Thriller', 'Science Fiction']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",602,60.442593,1996-06-25,816969268,145.0,Independence Day,6.7,3260,"['Action', 'Adventure', 'Science Fiction']"
73000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",330,2.502487,1997-05-23,229074524,129.0,The Lost World: Jurassic Park,6.2,2487,"['Adventure', 'Action', 'Science Fiction']"
76000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",9693,35.387874,2006-09-22,69959751,109.0,Children of Men,7.4,2071,"['Drama', 'Action', 'Thriller', 'Science Fiction']"
75000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",36657,4.66891,2000-07-13,296339527,104.0,X-Men,6.8,4097,"['Adventure', 'Action', 'Science Fiction']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",8909,73.82289,2008-06-19,258270008,110.0,Wanted,6.4,2528,"['Action', 'Thriller', 'Crime']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",9802,51.469576,1996-06-06,335062621,136.0,The Rock,6.9,1456,"['Action', 'Adventure', 'Thriller']"
50000000,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",2976,31.160542,2007-07-13,90450008,117.0,Hairspray,6.5,709,"['Family', 'Comedy', 'Music', 'Romance']"
80000000,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",11026,15.761384,2004-08-20,78000586,114.0,Exorcist: The Beginning,4.7,183,"['Horror', 'Mystery', 'Thriller']"
75000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",75656,71.124686,2013-05-29,117698894,115.0,Now You See Me,7.3,5487,"['Thriller', 'Crime']"
80000000,"[{'id': 35, 'name': 'Comedy'}]",38365,38.864027,2010-06-24,271430189,102.0,Grown Ups,6.0,1705,['Comedy']
60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",594,57.753914,2004-06-17,219417255,128.0,The Terminal,7.0,1910,"['Comedy', 'Drama']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",11678,13.318744,2000-12-08,215663859,124.0,Vertical Limit,5.9,283,"['Action', 'Adventure', 'Thriller']"
75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6538,18.70031,2007-12-19,119000410,102.0,Charlie Wilson's War,6.5,338,"['Comedy', 'Drama', 'History']"
70000000,"[{'id': 18, 'name': 'Drama'}]",1125,14.486311,2006-12-25,154937680,134.0,Dreamgirls,6.6,284,['Drama']
53000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",4551,18.61472,2005-03-04,95226116,118.0,Be Cool,5.4,292,"['Comedy', 'Crime']"
70000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",612,29.035222,2005-12-22,130358911,164.0,Munich,6.9,696,"['Drama', 'Action', 'History', 'Thriller']"
70000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",9567,27.055085,2003-03-07,85632458,121.0,Tears of the Sun,6.4,573,"['Action', 'Drama', 'War']"
75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",203801,48.744209,2015-08-13,108145109,116.0,The Man from U.N.C.L.E.,7.1,2265,"['Comedy', 'Action', 'Adventure']"
80000000,"[{'id': 35, 'name': 'Comedy'}]",2539,14.209329,2004-12-17,55041367,130.0,Spanglish,5.8,369,['Comedy']
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",3172,24.353302,2001-10-12,67631903,123.0,Bandits,6.2,302,"['Action', 'Comedy', 'Crime', 'Romance']"
55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6520,19.143321,1995-07-07,127600435,134.0,First Knight,5.9,311,"['Action', 'Adventure', 'Drama', 'Romance']"
75000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1439,13.327372,1999-12-16,0,148.0,Anna and the King,6.4,197,"['Drama', 'History', 'Romance']"
75000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",37958,37.917002,2011-11-10,226904017,110.0,Immortals,5.7,880,"['Fantasy', 'Action', 'Drama']"
52000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2026,23.663713,2005-03-09,77944725,113.0,Hostage,6.2,512,"['Mystery', 'Drama', 'Thriller', 'Crime']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",11375,10.605084,2003-06-09,51142659,116.0,Hollywood Homicide,5.0,166,"['Action', 'Adventure', 'Comedy', 'Thriller']"
45000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11866,20.374308,2004-12-17,21009180,113.0,Flight of the Phoenix,5.7,276,"['Action', 'Adventure', 'Drama', 'Thriller']"
75000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",9741,42.006908,2000-11-13,248118121,106.0,Unbreakable,6.9,1946,"['Science Fiction', 'Thriller', 'Drama']"
82000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",23629,39.127082,2011-03-24,89792502,110.0,Sucker Punch,5.9,1623,"['Action', 'Fantasy', 'Thriller']"
75000000,"[{'id': 878, 'name': 'Science Fiction'}]",10153,18.65988,1998-02-13,13100000,134.0,Sphere,5.8,476,['Science Fiction']
70000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",8676,21.789615,2008-02-07,111231041,112.0,Fool's Gold,5.4,444,"['Romance', 'Comedy', 'Adventure']"
75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",20829,20.199057,2009-07-31,61458982,146.0,Funny People,5.7,390,"['Comedy', 'Drama']"
70000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",4349,26.123705,2007-08-22,86658558,110.0,The Kingdom,6.5,513,"['Thriller', 'Action', 'Drama']"
72500000,"[{'id': 35, 'name': 'Comedy'}]",9718,12.599836,2006-08-04,162966177,116.0,Talladega Nights: The Ballad of Ricky Bobby,6.2,491,['Comedy']
72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",197,60.722162,1995-05-24,210000000,177.0,Braveheart,7.7,3336,"['Action', 'Drama', 'History', 'War']"
72000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",25,32.227223,2005-11-04,96889998,125.0,Jarhead,6.6,765,"['Drama', 'War']"
72000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",11086,11.215702,2001-12-21,37317558,152.0,The Majestic,6.6,188,"['Drama', 'Romance']"
94000000,"[{'id': 28, 'name': 'Action'}]",10477,8.468586,2001-04-27,54744738,116.0,Driven,4.5,179,['Action']
74500000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1997,8.884318,2004-04-07,62172050,109.0,Two Brothers,6.9,180,"['Adventure', 'Drama', 'Family']"
60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6947,27.491891,2004-07-30,256697520,108.0,The Village,6.2,1071,"['Drama', 'Mystery', 'Thriller']"
72000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",2675,28.848187,2002-08-02,408247917,106.0,Signs,6.4,1599,"['Drama', 'Thriller', 'Science Fiction', 'Mystery']"
120000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",920,82.643036,2006-06-08,461983149,117.0,Cars,6.6,3877,"['Animation', 'Adventure', 'Comedy', 'Family']"
70000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4806,20.230535,1999-07-30,309457509,116.0,Runaway Bride,5.7,455,"['Comedy', 'Romance']"
70000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",7451,46.217769,2002-08-09,277448382,124.0,xXx,5.8,1424,"['Action', 'Adventure', 'Thriller']"
80000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",3595,16.411345,1996-11-08,309492681,117.0,Ransom,6.4,470,"['Action', 'Thriller']"
70000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",16869,72.595961,2009-08-18,319131050,153.0,Inglourious Basterds,7.9,6430,"['Drama', 'Action', 'Thriller', 'War']"
70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",879,33.648404,1991-12-11,300854823,144.0,Hook,6.6,1532,"['Adventure', 'Fantasy', 'Comedy', 'Family']"
70000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1573,57.69847,1990-07-02,240031094,124.0,Die Hard 2,6.6,1896,"['Action', 'Thriller']"
80000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",9257,34.052253,2003-08-08,116643346,117.0,S.W.A.T.,5.8,770,"['Action', 'Thriller', 'Crime']"
68000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1903,27.299301,2001-12-10,203388341,136.0,Vanilla Sky,6.5,1078,"['Drama', 'Mystery', 'Romance', 'Science Fiction', 'Thriller']"
75000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}]",9697,20.219385,2006-07-21,42285169,110.0,Lady in the Water,5.3,409,"['Drama', 'Thriller', 'Fantasy', 'Mystery']"
70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",395,42.957216,2004-08-12,171183863,101.0,AVP: Alien vs. Predator,5.5,1217,"['Adventure', 'Science Fiction', 'Action']"
75000000,"[{'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",10590,19.708731,2002-03-01,114660784,138.0,We Were Soldiers,6.7,521,"['Action', 'History', 'War']"
70000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",117263,59.428223,2013-03-20,161025640,120.0,Olympus Has Fallen,6.2,2981,"['Action', 'Thriller']"
70000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",200,19.711951,1998-12-10,118000000,103.0,Star Trek: Insurrection,6.3,391,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
70000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",44943,49.199234,2011-03-08,202466756,116.0,Battle: Los Angeles,5.5,1448,"['Action', 'Science Fiction']"
70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",587,46.199482,2003-12-25,122919055,125.0,Big Fish,7.6,1994,"['Adventure', 'Fantasy', 'Drama']"
0,"[{'id': 14, 'name': 'Fantasy'}]",10395,13.758526,1994-06-17,0,125.0,Wolf,6.0,216,['Fantasy']
66000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",57212,29.505574,2011-12-25,177584879,146.0,War Horse,7.0,992,"['Drama', 'War']"
70000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}]",152760,43.873266,2014-01-24,154984035,118.0,The Monuments Men,5.8,1523,"['War', 'Drama', 'History', 'Action']"
70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",2756,24.961625,1989-08-09,90000098,139.0,The Abyss,7.1,808,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
70000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",33909,23.25645,2010-09-02,134748021,133.0,Wall Street: Money Never Sleeps,5.8,493,"['Drama', 'Crime']"
70000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",9882,20.089933,1998-11-06,116672912,116.0,The Siege,6.0,352,"['Drama', 'Action', 'Thriller', 'Crime']"
70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",2270,48.032734,2007-08-09,135560026,127.0,Stardust,7.1,1184,"['Adventure', 'Fantasy', 'Romance', 'Family']"
70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",978,16.92991,1997-09-12,131457682,136.0,Seven Years in Tibet,7.0,630,"['Adventure', 'Drama', 'History']"
70000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",44564,14.780634,2011-01-13,67112664,111.0,The Dilemma,5.2,304,"['Comedy', 'Drama']"
70000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",3132,14.086292,2002-06-07,65977295,116.0,Bad Company,5.4,228,"['Action', 'Adventure', 'Comedy', 'Thriller']"
60000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",8814,29.261348,2005-10-20,55987321,105.0,Doom,5.0,609,"['Adventure', 'Action', 'Horror']"
75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",80585,23.515938,2012-06-13,59418613,123.0,Rock of Ages,6.0,385,"['Comedy', 'Drama', 'Music', 'Romance']"
70000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",10592,14.244518,2002-02-15,32287044,125.0,Hart's War,5.9,241,"['Drama', 'War']"
66000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",49021,29.501489,2011-09-23,57777106,116.0,Killer Elite,6.1,695,"['Action', 'Adventure', 'Thriller']"
70000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",201088,46.832372,2015-01-13,17752940,133.0,Blackhat,5.1,826,"['Crime', 'Drama', 'Mystery']"
70000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",5137,24.664776,2004-09-17,57958696,107.0,Sky Captain and the World of Tomorrow,5.7,439,"['Mystery', 'Action', 'Thriller', 'Science Fiction', 'Adventure']"
70000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",3093,13.483387,2006-03-29,38629478,114.0,Basic Instinct 2,4.6,180,"['Crime', 'Mystery', 'Thriller']"
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",107846,44.478043,2013-10-09,122915111,115.0,Escape Plan,6.7,1659,"['Action', 'Thriller']"
68000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",4614,22.392544,2002-05-31,193000000,124.0,The Sum of All Fears,5.9,437,"['Thriller', 'Action', 'Drama']"
68000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",24021,107.069763,2010-06-23,698491347,124.0,The Twilight Saga: Eclipse,5.8,2301,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
68000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",11371,22.572323,2001-07-13,71069884,124.0,The Score,6.7,423,"['Action', 'Crime', 'Thriller']"
60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",11517,10.004564,1995-11-21,35431113,103.0,Money Train,5.4,222,"['Action', 'Comedy', 'Crime']"
68000000,"[{'id': 35, 'name': 'Comedy'}]",214756,68.734513,2015-06-25,217022588,115.0,Ted 2,6.2,2463,['Comedy']
70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",26428,18.888806,2009-05-17,39041505,127.0,Agora,6.9,395,"['Adventure', 'Drama', 'History']"
